Repositorio,Servicio_ID,Componente,Categoria,Tipo,Descripcion,Endpoint,Protocolo,WSDL,Clase_Java,Propiedades_Configuracion,Propiedades_Valores,Estados_Flujo,Codigos_Error,Base_Datos_Tipo,Base_Datos_Config,Cola_AMQ,AWS_S3,Integraciones_Externas,SQL_Procedures,Validaciones,Manejo_Errores,Transformaciones,Observaciones_Tecnicas,Criticidad,Dependencias
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,servicio-firma-toc,Servicio Principal,CamelContext,Servicio de firma digital con Token de Operación Coopeuch (TOC) para autenticación y firma de documentos electrónicos con soporte FEA y FES,/cdig/WSFirmaToc|/cdig/RSFirmaToc,SOAP|REST,etc/wsdl/WSFirmaToc.wsdl,cl.coopeuch.integracion.firmatoc.wsdl.WSFirmaTocSOAPPortType,Apache Camel Blueprint OSGi|schema-validation-enabled=true,loggingFeatureEnabled=true,1-10,500|502|504|467|446|479|424,SQL Server,firmatoc.jdbc.*,ActiveMQ|{[amq.broker.url]}|usePooledConnection=true,AWS S3|{{firmartoc.firmar.amazon.s3.default.bucket}},servicioToc|servicioPersona|servicioDocumentSigner|servicioEstampaSigner|IOC,pa_insFlujoFirmaBiometrica_InsertToken|pa_selFlujoFirmaBiometrica|pa_updFlujoFirmaBiometrica_datosFlujo|pa_selValidacionTiempo|pa_updEstadoFlujo|pa_insLogFirmaDocumento|pa_updLogFirmaDocumento,RUT|Tiempo|TipoFirma|IOC,IllegalArgumentException|ConnectException|ExchangeTimedOutException|NumberFormatException|IllegalStateException|IOException,XSLT|JSON marshaling,Servicio crítico para firma digital. Orquestador de múltiples servicios externos. Control de estados de flujo 1-10,ALTA,SQL Server|ActiveMQ|AWS S3|Servicios externos TOC
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,endpointWSFirmaToc,Endpoint SOAP Interno,cxfEndpoint,Endpoint principal SOAP para exponer el servicio de firma TOC con validación de esquema habilitada,/cdig/WSFirmaToc,SOAP,etc/wsdl/WSFirmaToc.wsdl,cl.coopeuch.integracion.firmatoc.wsdl.WSFirmaTocSOAPPortType,Apache CXF|schema-validation-enabled=true,loggingFeatureEnabled=true,1-10,500|502|504|467|446|479|424,SQL Server,firmatoc.jdbc.*,ActiveMQ,AWS S3,servicioToc|servicioPersona|servicioDocumentSigner|servicioEstampaSigner,Multiple,RUT|Tiempo|TipoFirma,IllegalArgumentException|ConnectException,XSLT|JSON,Endpoint con validación de esquema XML. Protocolo SOAP con CXF,ALTA,Apache CXF|Blueprint
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,endpointRSFirmaToc,Endpoint REST Interno,rsServer,Endpoint REST alternativo para el servicio de firma TOC para integración con clientes modernos,/cdig/RSFirmaToc,REST,etc/wsdl/WSFirmaToc.wsdl,cl.coopeuch.integracion.firmatoc.wsdl.WSFirmaTocSOAPPortType,Apache CXF RS,,1-10,500|502|504|467|446|479|424,SQL Server,firmatoc.jdbc.*,ActiveMQ,AWS S3,servicioToc|servicioPersona|servicioDocumentSigner|servicioEstampaSigner,Multiple,RUT|Tiempo|TipoFirma,IllegalArgumentException|ConnectException,JSON,Endpoint REST para integración moderna. Mismas operaciones que SOAP,ALTA,Apache CXF RS|Blueprint
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,servicioToc,Servicio Externo,cxfEndpoint,Servicio TOC externo para validación de tokens y operaciones de firma. Servicio crítico para flujo de firma,{{firmatoc.firmar.servicioTOC.endpoint}},SOAP,etc/wsdl/WSTOC.wsdl,cl.coopeuch.integracion.firmatoc.wsdl.toc.WSTOCSOAPPortType,Apache CXF|External Service,loggingFeatureEnabled=true,5|9,504|500,,,,,validarTrx|obtenerDatos|firmaSimple,,ConnectException|IllegalArgumentException,,Servicio externo TOC. Validación de transacciones y firma simple,CRITICA,Servicio TOC externo
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,servicioPersona,Servicio Externo,cxfEndpoint,Servicio de validación de datos personales del usuario. Consulta información del socio,[{firmartoc.firmar.serviciopersona.endpoint}],SOAP,etc/wsdl/ServicioPersona.wsdl,cl.coopeuch.integracion.firmatoc.wsdl.servicioPersona.PersonaPortType,Apache CXF|External Service,loggingFeatureEnabled=true,,,,,,,persona,Validación correo,IllegalArgumentException,,Validación de información personal del socio. Consulta correo electrónico,MEDIA,Servicio Persona externo
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,servicioDocumentSigner,Servicio Externo,cxfEndpoint,Servicio de firma electrónica avanzada (FEA). Realiza firma criptográfica del documento,[{firmatoc.firmar.documentSigner.endpoint}],SOAP,etc/wsdl/DocumentSigner.wsdl,cl.coopeuch.integracion.firmatoc.wsdl.documentsigner.DocumentSigner,Apache CXF|External Service,loggingFeatureEnabled=true,7|9,504|500,,,,,firmaAvanzada,,ConnectException|IllegalArgumentException,,Firma electrónica avanzada. Servicio crítico para FEA,CRITICA,Document Signer externo
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,servicioEstampaSigner,Servicio Externo,cxfEndpoint,Servicio de firma con estampa digital. Proceso de estampado de documentos,[{firmatoc.firmar.estampa.endpoint}],SOAP,etc/wsdl/EstampaTOC.wsdl,cl.coopeuch.integracion.firmatoc.wsdl.firmaEstampa.Signer,Apache CXF|External Service,loggingFeatureEnabled=true,,,,,,,firmarEstampa,pa_insLogFirmaDocumento|pa_updLogFirmaDocumento,,ExchangeTimedOutException,,Firma con estampa digital. Incluye logging detallado,MEDIA,Estampa Signer externo
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,generarToken,Operacion,Route,Genera tokens de seguridad para el flujo de firma biométrica. Primera operación del flujo,direct:generarToken,Internal,,,cl.coopeuch.integracion.firmatoc.util.RouteFacade,requestGenerarToken|responseGenerarToken,1,500,SQL Server,firmatoc.jdbc.*,,,pa_insFlujoFirmaBiometrica_InsertToken.sql,Token validation,IllegalArgumentException,,Inicio del flujo de firma. Genera token único para transacción,ALTA,SQL Server
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,consultarTransaccion,Operacion,Route,Consulta el estado actual de una transacción de firma utilizando el token generado,direct:consultarTransaccion,Internal,,,cl.coopeuch.integracion.firmatoc.util.RouteFacade,requestConsultarTransaccion|responseConsultarTransaccion,,500,SQL Server,firmatoc.jdbc.*,,,pa_selFlujoFirmaBiometrica.sql,Token existence,IllegalArgumentException,,Consulta de estado de flujo. Query de base de datos,MEDIA,SQL Server
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,autenticar,Operacion,Route,Autentica usuarios con validación de RUT y tiempo. Integra con IOC para validación de identidad,direct:autenticar,Internal,,,cl.coopeuch.integracion.firmatoc.util.RouteFacade,requestAutenticarPa|responseAutenticarPa|validarRut|validacionesTiempo|generarResponseAutenticar,2|3|4,500|467|502,SQL Server,firmatoc.jdbc.*,ActiveMQ|IOC7430001I,,,pa_updFlujoFirmaBiometrica_datosFlujo|pa_selValidacionTiempo,RUT|Tiempo|IOC,IllegalArgumentException|NumberFormatException|IllegalStateException|IOException|ExchangeTimedOutException,XSLT IOC743001O,Autenticación crítica. Validación IOC. Validación tiempo. Estado flujo 2 si OK,CRITICA,IOC|SQL Server|ActiveMQ
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,firmar,Operacion,Route,Proceso principal de firma de documentos. Soporta FEA y FES. Incluye autenticación y almacenamiento,direct:firmar,Internal,,,cl.coopeuch.integracion.firmatoc.util.RouteFacade,procesarRequestFirmar|procesarRespuestaAutenticar|generarResponseFirmar,7|9|10,500|424,SQL Server,firmatoc.jdbc.*,ActiveMQ,AWS S3,autenticar|persona|buscarDocumentoAWS|firmaAvanzada|firmaSimple|guardarDocumento,Multiple,RUT|Tiempo|TipoFirma|DocumentoS3,IllegalArgumentException|IllegalStateException|ConnectException,JSON,Orquestador principal de firma. Llama autenticar. Busca doc S3. Ejecuta firma FEA/FES. Guarda resultado,CRITICA,autenticar|firmaAvanzada|firmaSimple|AWS S3
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,obtenerDatos,Operacion,Route,Obtiene datos de validación desde el servicio TOC externo,direct:obtenerDatos,Internal,,,cl.coopeuch.integracion.firmatoc.util.RouteFacade,requestValidar|responseValidar,,500|504,,,,,servicioToc call,,IllegalArgumentException|ConnectException,,Consulta datos de validación en TOC. Manejo de timeout,MEDIA,servicioToc
coopeuch-migracion-cdig-rsfirmatoc,servicio-firma-toc,firmarEstampa,Operacion,Route,Firma documentos con estampa digital. Incluye logging completo de transacción,direct:firmarEstampa,Internal,,,cl.coopeuch.integracion.firmatoc.util.RouteFacade,llamadaEstampaFirma|obtenerResponseFirmaEstampa|obtenerValoresErrores|obtenerDatosEntradaProcedimiento|obtenerDatosSalidaProcedimiento,,500|504,SQL Server,firmatoc.jdbc.*,,,pa_insLogFirmaDocumento|pa_updLogFirmaDocumento,Documento validation,ExchangeTimedOutException,,Firma con estampa. Logging detallado en BD. Insert y update de log,MEDIA,servicioEstampaSigner|SQL Server
